id,dedup_count,trim_count
ucin331,228585,228585
ucin332,498033,498033
ucin333,47134,47134
ucin334re,1011699,1011699
ucin335z,27504768,27504718
ucin336,406844,406844
ucin337,740380,740380
ucin338,491707,491707
ucin339,325756,325756
ucin340,105032,105032
ucin341conc,27816900,27816865
ucin342re,26128,26128
ucin343conc,978938,978938
ucin344,1440728,1440728
ucin345re,1139109,1139109
ucin346,1782828,1782827
ucin347conc,1109930,1109930
ucin348,798327,798327
ucin349conc,138825,138825
ucin350,1229643,1229643
ucin351re,1859663,1859663
ucin352z,3816496,3816496
ucin353z,109078,109078
ucin354,1320457,1320456
ucin355,2957109,2957109
ucin356,1650333,1650330
ucin357z,88608,88608
ucin358conc,320037,320036
ucin359,740708,740708
ucin360,206267,206267
ucin361,1900247,1900242
ucin362z,99087,99087
ucin363,752885,752883
ucin364conc,977965,977960
ucin365,700837,700837
ucin379,1558967,1558964
ucin380conc,992416,992409
ucin381,580646,580644
ucin382,184537,184537
ucin383,1904385,1904384
ucin384REz,20324,20324
ucin385,724450,724450
ucin386,1222526,1222526
ucin399,1588380,1588380
ucin400,1266463,1266463
ucin401,1830630,1830630
ucin402,1031378,1031378
ucin404,1652085,1652084
ucin405,1547217,1547217
ucin406RE,2082150,2082149
ucin407RE,954978,954978
ucin408re,3395929,3395929
ucin409,16688071,16688043
ucin410z,144852,144852
ucin411z,367287,367287
ucin412,1047716,1047715
ucin413,1695959,1695957
ucin413replicate,3542394,3542394
ucin414,586324,586324
ucin415,100779,100779
ucin416,1975839,1975839
ucin417z,201030,201030
ucin418z,15125,15125
ucin419conc,1997305,1997305
ucin420,922659,922659
ucin421z,894641,894641
ucin422,269496,269496
ucin423z,565604,565604
ucin424,1511246,1511246
ucin425,1001427,1001427
ucin426,554681,554681
ucin427RE,1051941,1051939
ucin428z,2055250,2055249
ucin429,77288,77288
ucin430z,1217671,1217671
ucin431z,103151,103151
ucin432z,650038,650038
ucin433,961346,961346
ucin434,704453,704453
ucin435,1304985,1304984
ucin436,1575762,1575761
ucin437,669075,669075
