id,dedup_count
ucin240,1567198
ucin241,990152
ucin242,294060
ucin243,1074585
ucin244,675404
ucin245,39349837
ucin246z,589027
ucin249,1110567
ucin251,1240580
ucin252z,549809
ucin253,809938
ucin256,398924
ucin257,1675011
ucin258,785959
ucin259,1131031
ucin260reconc,1035564
ucin261,746462
ucin261replicate,168331
ucin262reconc,1333173
ucin263,541846
ucin264,517543
ucin265conc,862460
ucin266reconc,1412262
ucin267,1361963
ucin268,1233900
ucin269,1404312
ucin270,683140
ucin271REz,291003
ucin273,1082551
ucin274re,706535
ucin275,1188398
ucin276z,430817
ucin277z,423204
ucin278z,594076
ucin279conc,631734
ucin279concreplicate,1654819
ucin300,805398
ucin301,785941
ucin302,397404
ucin303,319398
ucin304,63588
ucin305,476710
ucin306,1283994
ucin307,600890
ucin308,270694
ucin309,692600
ucin310conc,488395
ucin311,82950
ucin312,67392
ucin313,1233062
ucin314z,697379
ucin315,781523
ucin316,1195771
ucin317z,591724
ucin318,687224
ucin319z,202000
ucin320z,988833
ucin321,1597836
ucin322,369811
ucin323,523262
ucin324z,1522418
ucin325re,52168
ucin326conc,879739
ucin327re,909047
ucin328,1019315
ucin329,1264634
ucin330,373085
ucin331,228585
ucin332,498033
ucin333,47134
ucin334re,1011699
ucin335z,27504768
ucin336,406844
ucin337,740380
ucin338,491707
ucin339,325756
ucin340,105032
ucin341conc,27816900
ucin342re,26128
ucin343conc,978938
ucin344,1440728
ucin345re,1139109
ucin346,1782828
ucin347conc,1109930
ucin348,798327
ucin349conc,138825
ucin350,1229643
ucin351re,1859663
ucin352z,3816496
ucin353z,109078
ucin354,1320457
ucin355,2957109
ucin356,1650333
ucin357z,88608
ucin358conc,320037
ucin359,740708
ucin360,206267
ucin361,1900247
ucin362z,99087
ucin363,752885
ucin364conc,977965
ucin365,700837
ucin379,1558967
ucin380conc,992416
ucin381,580646
ucin382,184537
ucin383,1904385
ucin384REz,20324
ucin385,724450
ucin386,1222526
ucin399,1588380
ucin400,1266463
ucin401,1830630
ucin402,1031378
ucin404,1652085
ucin405,1547217
ucin406RE,2082150
ucin407RE,954978
ucin408re,3395929
ucin409,16688071
ucin410z,144852
ucin411z,367287
ucin412,1047716
ucin413,1695959
ucin413replicate,3542394
ucin414,586324
ucin415,100779
ucin416,1975839
ucin417z,201030
ucin418z,15125
ucin419conc,1997305
ucin420,922659
ucin421z,894641
ucin422,269496
ucin423z,565604
ucin424,1511246
ucin425,1001427
ucin426,554681
ucin427RE,1051941
ucin428z,2055250
ucin429,77288
ucin430z,1217671
ucin431z,103151
ucin432z,650038
ucin433,961346
ucin434,704453
ucin435,1304985
ucin436,1575762
ucin437,669075
